Word,Pleasantness,Activation,Imagery,Pleasantness_SD,Activation_SD,Imagery_SD
formular,2,2.8,2.2,0,0.4472,1.0954
capital,2.4,1.8,2.4,0.5477,0.8367,0.8944
existencia,2.6,2,1.8,0.5477,0.7071,0.8367
episodio,2.2,2,2.4,0.4472,0.7071,0.8944
VERDADERO,3,2.4,1.8,0,0.5477,0.4472
figura,2,2,2.8,0,0.7071,0.4472
denominar,2,2.4,1.6,0,0.5477,0.8944
jefe,1.6,2.6,3,0.5477,0.5477,0
pena,1.2,1.8,2.2,0.4472,1.0954,1.0954
comprar,2.8,3,3,0.4472,0,0
carta,2,2.4,3,0,0.5477,0
notar,2,3,1.6,0,0,0.8944
mandar,2,3,2.4,0,0,0.8944
atrás,1.8,1.8,2.6,0.4472,0.4472,0.5477
marcar,2,2.8,2.4,0,0.4472,0.8944
grito,1.4,3,3,0.5477,0,0
demasiado,1.6,1.8,2,0.5477,0.4472,0.7071
provocar,1.8,3,2.4,0.4472,0,0.8944
elección,2.2,2.8,2,0.4472,0.4472,0.7071
acto,2,2.8,2.2,0,0.4472,0.8367
modelo,2.2,2,2.4,0.4472,0.7071,0.5477
jugador,2.8,3,3,0.4472,0,0
libertad,3,2.8,2.6,0,0.4472,0.8944
celebrar,3,3,3,0,0,0
espalda,2.2,1.6,2.8,0.4472,0.5477,0.4472
sitio,2.2,1.4,2.2,0.4472,0.5477,0.8367
escritor,3,3,3,0,0,0
siquiera,2,1.6,1.2,0,0.5477,0.4472
explicar,2.6,3,2.4,0.5477,0,0.8944
cantidad,2,2,2.2,0,0.7071,0.8367
unión,2.8,2.4,2.4,0.4472,0.8944,0.8944
lagrimar,1.6,2.6,3,0.8944,0.8944,0
apenas,2,1.8333,2.1667,0,0.4082,0.7528
aprender,3,3,3,0,0,0
arma,1,2.6,3,0,0.5477,0
hallar,2.8,3,2.8,0.4472,0,0.4472
distancia,1.8,1.6,2.8,0.4472,0.5477,0.4472
simple,2.8,2.2,2.8,0.4472,0.4472,0.4472
teatro,3,2.6,3,0,0.8944,0
par,2.6,2.2,3,0.5477,0.8367,0
andar,2.8,2.8,3,0.4472,0.4472,0
futuro,2.4,1.8,1.8,0.5477,0.4472,1.0954
eterno,2.8,2.2,2,0.4472,0.4472,1
condición,2,1.8,1.8,0,0.4472,0.8367
militar,1,2.4,2.6,0,0.8944,0.8944
cuento,3,2.2,3,0,0.8367,0
ángel,2.4,1.8,2.4,0.8944,0.8367,0.8944
golpe,1.2,2.4,3,0.4472,0.8944,0
objeto,2.2,1.6,2.2,0.4472,0.5477,0.8367
organización,2,2.4,2.6,0.7071,0.5477,0.5477
abuelo,2.8,2,3,0.4472,1,0
radio,2.6,2,3,0.5477,0.7071,0
difícil,2,2.2,2.2,0.7071,0.4472,0.8367
viajar,3,2.8,3,0,0.4472,0
capaz,3,2.6,2.6,0,0.5477,0.5477
montaña,2.6,1.6,3,0.5477,0.8944,0
esperanza,2.8,1.8,2.6,0.4472,0.8367,0.8944
rodear,2.4,2.6,2.6,0.5477,0.5477,0.5477
preparar,2.4,2.6,2.6,0.5477,0.5477,0.5477
pierna,2.4,2.2,2.8,0.5477,0.8367,0.4472
canal,2.4,2.2,3,0.5477,0.8367,0
numeroso,2,2.2,3,0,0.4472,0
vestir,2,3,3,0,0,0
elemento,2.2,2,2.2,0.4472,0.7071,1.0954
control,1.8,2,2.6,0.4472,0.7071,0.8944
calor,2.4,2.4,3,0.8944,0.8944,0
oeste,2,2,2.6,0,0.7071,0.5477
función,2,2,2.2,0,0.7071,0.8367
atención,2.4,2.4,2.6,0.5477,0.8944,0.8944
compartir,2.8,3,3,0.4472,0,0
blanco,2.2,1.8,3,0.4472,0.8367,0
necesidad,2,2.4,2.4,0,0.8944,0.8944
musical,3,2.6,2.6,0,0.5477,0.8944
piso,2,1.8,3,0,0.4472,0
seguro,2.8,2.2,2.4,0.4472,0.8367,0.8944
ingreso,2.2,2.6,2.2,0.4472,0.5477,0.8367
vender,2,2.8,2.8,0,0.4472,0.4472
simplemente,2.4,2.2,1.8,0.5477,0.4472,0.8367
político,1.2,2.4,2.4,0.4472,0.5477,0.8944
completo,2.4,2.2,2.6,0.5477,0.8367,0.5477
interés,2.4,2.4,2.8,0.5477,0.8944,0.4472
causar,2,2.6,2.2,0,0.5477,0.8367
verano,3,2.2,3,0,0.8367,0
ala,2.6,2.4,3,0.5477,0.8944,0
mitad,2,1.6,2.4,0,0.5477,0.8944
ciencia,2.6,3,3,0.5477,0,0
hogar,3,2,3,0,0.7071,0
faltar,1.6,2.4,2.2,0.5477,0.5477,0.8367
rápido,2,3,2.2,0.7071,0,0.8367
partido,2.2,2.8,2.8,0.4472,0.4472,0.4472
enorme,2.2,2.2,2.8,0.4472,0.4472,0.4472
nube,2.6,1.6,3,0.5477,0.8944,0
falta,1.8,2,2,0.4472,0.7071,1
guardar,2,2,2.2,0,1,0.8367
mesa,2,1.6,3,0,0.5477,0
extender,2,2.8,2,0,0.4472,0.7071
oro,2.4,1.2,3,0.5477,0.4472,0
juntar,2.4,3,2.2,0.5477,0,0.8367
similar,2,1.8,2,0,0.4472,0.7071
enviar,2,3,2.2,0,0,0.4472
histórico,1.8,1.4,2.2,0.4472,0.5477,0.4472
interpretar,2.6,2.8,2,0.5477,0.4472,1
piedra,2,1.2,3,0,0.4472,0
frío,1.6,2,3,0.8944,1,0
museo,2.8,1.8,3,0.4472,0.8367,0
original,2.8,2,2.2,0.4472,1,1.0954
civil,2,2.2,1.4,0,0.8367,0.5477
luchar,2.1667,3,2.8333,0.7528,0,0.4082
campo,3,1.7143,3,0,0.9512,0
medida,2,2.1667,1.8333,0,0.7528,0.7528
plan,2.3333,2.6667,2.6667,0.5164,0.5164,0.5164
apoyar,2.4,2.6,3,0.5477,0.8944,0
información,2.2,2,2,0.4472,0.7071,0.7071
producto,2,1.8,2.6,0,0.8367,0.5477
unidad,2.4,2.2,2.4,0.5477,0.8367,0.5477
cercano,2.4,2.2,2.6,0.5477,0.8367,0.5477
energía,2.8,2.8,3,0.4472,0.4472,0
alegría,3,3,3,0,0,0
ayuda,2.6,3,2.6,0.5477,0,0.5477
llenar,2.4,3,2.8,0.5477,0,0.4472
colocar,2,3,2.8,0,0,0.4472
avanzar,2.6,3,3,0.5477,0,0
encuentro,3,2.8,3,0,0.4472,0
especialmente,2.2,2.2,2.2,0.4472,0.4472,0.8367
escena,2.2,2.2,2.4,0.4472,0.8367,0.5477
capacidad,2.4,2.4,2.6,0.5477,0.5477,0.8944
profundo,2.6,2.6,2.8,0.5477,0.5477,0.4472
investigación,2.2,3,2.4,0.8367,0,0.8944
largo,2,2,2.6,0,0.7071,0.8944
jardín,3,1.6,3,0,0.8944,0
gana,2.4,2.8,1.6,0.5477,0.4472,0.8944
ropa,2.4,1.8,3,0.5477,0.4472,0
cine,2.8,2,3,0.4472,1,0
oscuridad,1.6,1.4,2.8,0.5477,0.5477,0.4472
realmente,2,2.4,2,0,0.5477,1
retirar,2,2.6,2.6,0,0.8944,0.5477
red,2,1.6,3,0,0.5477,0
parar,2,3,3,0,0,0
tema,2,1.6,1.6,0,0.5477,0.8944
describir,2.2,2.6,2.4,0.4472,0.8944,0.8944
enfrentar,1.6,3,2.6,0.5477,0,0.8944
parir,2.2,3,3,0.8367,0,0
suerte,3,2.2,2.6,0,0.8367,0.5477
edición,2,2.6,2.2,0,0.5477,0.8367
ataque,1,3,3,0,0,0
abrazar,3,3,3,0,0,0
consejo,2.8,2.8,2.8,0.4472,0.4472,0.4472
café,3,2,3,0,1,0
muchacho,2,1.8,2.6,0,0.4472,0.5477
cuarto,2,1.4,2.8,0,0.5477,0.4472
revista,2.2,1.8,3,0.4472,0.8367,0
tristeza,1.2,2,3,0.4472,1,0
carne,1.8,1.8,3,0.8367,0.4472,0
comuna,2.2,2.2,1.8,0.4472,0.4472,0.8367
enamorar,3,3,2.6,0,0,0.5477
espejo,2.6,1.6,3,0.5477,0.5477,0
conjunto,2.4,2.2,2.6,0.5477,0.4472,0.8944
característica,2.2,2,1.8,0.4472,0,0.8367
corto,1.8,1.6,2.8,0.8367,0.5477,0.4472
claro,3,1.8,2.6,0,0.4472,0.5477
pacífico,3,2,2.8,0,1,0.4472
indicar,2,2.8,3,0,0.4472,0
felicidad,3,2.8,2.8,0,0.4472,0.4472
sensación,2.2,2.8,2.2,0.4472,0.4472,0.8367
oportunidad,3,2.8,2.6,0,0.4472,0.5477
temer,1.2,2.4,2.6,0.4472,0.8944,0.5477
campeonato,2.6,2.6,2.4,0.5477,0.5477,0.8944
motivo,2.2,2.2,1.8,0.4472,0.8367,0.8367
rato,2.2,2.2,2.2,0.4472,0.4472,0.8367
derrotar,1.6,2.8,2.6,0.5477,0.4472,0.5477
peso,1.8,1.8,2.6,0.4472,0.8367,0.5477
sencillo,2.6,2.4,2.8,0.5477,0.5477,0.4472
duro,1.8,2.6,2.8,0.4472,0.5477,0.4472
olor,2,2.4,2.6,0,0.5477,0.8944
duda,1.6,1.8,1.6,0.5477,0.8367,0.5477
puesto,2,2.4,1.8,0,0.5477,0.4472
actuar,2.8,3,3,0.4472,0,0
principalmente,2,2.2,1.6,0,0.4472,0.5477
referir,2,2.4,1.4,0,0.5477,0.5477
detrás,2,1.6,2.4,0,0.5477,0.8944
destruir,1.2,3,2,0.4472,0,1
prueba,1.8,2.4,2.2,0.4472,0.5477,0.8367
tenia,1,2.4,2.4,0,0.8944,0.8944
perfecto,2.8,2.4,2,0.4472,0.5477,1
pelo,2,2,3,0,0,0
pasión,2.6,2.6,2.6,0.8944,0.8944,0.5477
fecha,2.4,2,2,0.5477,0,0.7071
cansar,1.3333,2.3333,2.6667,0.5164,0.8165,0.5164
beber,3,3,3,0,0,0
lucha,1.6,3,2.8,0.8944,0,0.4472
poeta,2.8,2.6,2.6,0.4472,0.5477,0.8944
novela,3,1.8,2.8,0,0.8367,0.4472
dato,2.6,1.6,2.8,0.5477,0.5477,0.4472
limitar,1.6,3,2.2,0.5477,0,0.8367
pez,2.6,2.8,3,0.5477,0.4472,0
repetir,1.8,2.8,1.8,0.4472,0.4472,0.8367
creación,2.8,3,2,0.4472,0,1
texto,2.6,1.8,2.8,0.5477,0.8367,0.4472
naturaleza,3,2.2,2.8,0,1.0954,0.4472
torre,2.4,1.4,3,0.5477,0.5477,0
constituir,2.4,2.8,1.6,0.5477,0.4472,0.5477
dulce,3,1.6,3,0,0.8944,0
obligar,1,3,2.6,0,0,0.5477
mil,2,2,2.2,0,0,1.0954
pagar,1.4,3,3,0.5477,0,0
estructura,2,1,2,0,0,1
copa,2.6,1.4,3,0.5477,0.8944,0
risa,3,3,3,0,0,0
organizar,2.2,3,2,0.8367,0,1
municipal,2,2,2.6,0,0,0.8944
frío,1.4,2.2,2.6,0.5477,1.0954,0.8944
negar,1.2,3,2.4,0.4472,0,0.5477
diferencia,2,2,2.2,0,0,0.4472
intento,2.4,2.8,1.8,0.5477,0.4472,0.8367
vía,2,1.6,2.2,0,0.5477,0.8367
policía,1.8,2.2,3,0.4472,1.0954,0
demostrar,2.4,3,1.8,0.5477,0,0.8367
formación,2.8,1.8,1.8,0.4472,0.8367,0.8367
cultural,2.8,1.8,1.4,0.4472,0.8367,0.8944
plata,2.8,1.8,2.8,0.4472,0.8367,0.4472
período,2,1.8,2.2,0,0.4472,0.4472
surgir,2.6,3,1.6,0.5477,0,0.8944
pieza,2.4,1.6,2.4,0.5477,0.5477,0.8944
suave,2.8,2.2,2.6,0.4472,0.8367,0.5477
guerra,1,2.2,3,0,1.0954,0
vecino,2.2,2.2,2.6,0.4472,0.8367,0.5477
vista,3,2.2,2.4,0,0.8367,0.8944
aspecto,2.6,2,1.8,0.5477,0.7071,0.8367
meter,2.4,3,2.4,0.5477,0,0.8944
amo,2.2,2.6,2.2,0.8367,0.5477,0.4472
cortar,2,2.8,2.4,0,0.4472,0.8944
distribución,2.2,2.4,2,0.4472,0.8944,1
pregunta,2.2,3,2.4,0.4472,0,0.8944
paz,3,1.8,2.2,0,1.0954,1.0954
fruto,2.8,2.2,2.6,0.4472,0.8367,0.5477
belleza,3,2.4,3,0,0.8944,0
poema,2.8,2,2.4,0.4472,1,0.8944
suficiente,2.4,2.2,1.4,0.8944,0.4472,0.5477
famoso,2,2.2,2.4,0,0.4472,0.5477
artículo,2,1.8,2.2,0,0.4472,0.8367
loco,2,3,2.6,0.7071,0,0.5477
villa,1.8,2,2.6,0.8367,0.7071,0.5477
perteneciente,2.2,1.8,1.6,0.4472,0.4472,0.5477
conservar,2,2.2,1.6,0,1.0954,0.8944
dia,2.6,2.2,2.8,0.5477,0.4472,0.4472
importancia,2.4,2.4,2,0.5477,0.5477,1
seguridad,2.8,2.8,2.4,0.4472,0.4472,0.8944
educación,2.8,2.8,2.8,0.4472,0.4472,0.4472
pasado,2.4,1.8,2.8,0.5477,0.8367,0.4472
sector,2,1.8,2.6,0,0.4472,0.5477
determinar,2.2,2.8,1.6,0.4472,0.4472,0.5477
declarar,2.2,3,2.6,0.4472,0,0.8944
posibilidad,2.4,2.2,2,0.5477,0.4472,0.7071
dinero,2.8,2.6,3,0.4472,0.5477,0
experiencia,2.8,2.6,2.8,0.4472,0.5477,0.4472
disfrutar,3,3,3,0,0,0
carácter,2.4,2.2,2,0.5477,0.4472,1
velocidad,2.2,2.4,2.4,0.4472,0.5477,0.8944
operación,1.8,2.8,2.4,0.4472,0.4472,0.8944
decisión,2.4,2.8,2.2,0.8944,0.4472,0.8367
preocupar,2,2.6,2.6,1,0.8944,0.5477
debutar,2.8,3,2.2,0.4472,0,1.0954
contestar,2.6,3,2.8,0.5477,0,0.4472
mencionar,2.4,2.6,2.6,0.5477,0.5477,0.5477
sonar,2.4,2.8,2.8,0.5477,0.4472,0.4472
quitar,1.4286,2.8571,3,0.5345,0.378,0
altura,2.2,1.8,3,0.4472,0.8367,0
huir,1.2,3,3,0.4472,0,0
bosque,3,2.2,3,0,0.8367,0
solo,2,1.6,2.8,1,0.8944,0.4472
imperio,2.4,2,2.6,0.5477,0.7071,0.8944
ordenar,2,3,3,0.7071,0,0
residir,2,2.6,2.8,0.7071,0.5477,0.4472
selección,2,2.4,2.8,0.7071,0.8944,0.4472
fácil,2,1.8,2.8,0.7071,0.4472,0.4472
ministro,1.8,2,2.8,0.4472,0.7071,0.4472
dueño,2.2,2.6,3,0.8367,0.5477,0
tropa,2,2.6,3,0.7071,0.8944,0
propiedad,2.6,2,3,0.5477,0.7071,0
ruta,2.4,2.2,3,0.5477,0.8367,0
defensa,2.6,2.2,2.8,0.5477,0.8367,0.4472
actor,2.4,2.8,3,0.5477,0.4472,0
reunir,2.6,3,3,0.5477,0,0
despedir,2.2,2.6,2.8,0.8367,0.5477,0.4472
trasladar,2.6,3,2.8,0.5477,0,0.4472
bailar,2.2,3,3,0.8367,0,0
enfermedad,1.2,2,2.8,0.4472,1,0.4472
entrada,2.4,2.2,2.8,0.5477,0.8367,0.4472
firme,2.8,2.2,2.6,0.4472,0.4472,0.5477
anunciar,2.6,2.6,2.8,0.5477,0.5477,0.4472
busca,2.2,2.6,2.6,0.4472,0.5477,0.8944
causa,2.4,2.4,2.2,0.5477,0.5477,0.8367
atacar,1.4,3,3,0.5477,0,0
muerto,1.4,1.4,3,0.5477,0.5477,0
pareja,2.8,2.4,3,0.4472,0.8944,0
comercial,2.2,2.2,2.6,0.4472,0.4472,0.5477
visitar,3,3,3,0,0,0
tirar,1.8,2.6,2.8,0.4472,0.8944,0.4472
relacionar,2.6,2.8,2.6,0.5477,0.4472,0.8944
cabello,2.6,1.8,2.8,0.5477,0.8367,0.4472
artista,2.4,2.6,3,0.5477,0.5477,0
espíritu,2.6,2.2,2.8,0.5477,0.8367,0.4472
invitar,2.8,3,2.8,0.4472,0,0.4472
local,2.2,1.8,2.6,0.4472,0.8367,0.5477
firmar,2.2,3,2.8,0.4472,0,0.4472
teoría,2.6,2,2.6,0.5477,0.7071,0.5477
invierno,2.4,1.8,3,0.5477,0.8367,0
objetivo,2.2,2.4,2.6,0.4472,0.5477,0.8944
puente,2.6,1.4,3,0.5477,0.8944,0
lentamente,2,2.4,2.8,0,0.5477,0.4472
imposible,1.6,2,2.8,0.8944,0.7071,0.4472
sostener,2,2.8,2.6,0.7071,0.4472,0.5477
mercado,2.2,2.4,3,0.4472,0.5477,0
transformar,2.8,2.8,3,0.4472,0.4472,0
cadena,1.2,2,3,0.4472,0.7071,0
personal,2.6,2.4,2.8,0.5477,0.5477,0.4472
serio,2.2,1.8,2.8,0.4472,0.4472,0.4472
conocimiento,3,2.4,3,0,0.8944,0
planeta,3,2.4,3,0,0.8944,0
solamente,1.8,2,2.2,0.4472,0,0.8367
comunicación,2.8,2.8,2.8,0.4472,0.4472,0.4472
etapa,2.2,2.4,2.6,0.8367,0.5477,0.5477
integrar,2.4,2.8,2.8,0.8944,0.4472,0.4472
marca,2,2.6,2.8,0.7071,0.5477,0.4472
categoría,2,2.2,2.4,0,0.4472,0.5477
longitud,2,2,2.4,0,0,0.5477
peor,1.4,2.2,2.2,0.5477,0.4472,0.8367
campaña,2.2,2.6,2.2,0.4472,0.5477,0.8367
moderno,2.4,2.4,3,0.5477,0.5477,0
colegio,3,2.8,3,0,0.4472,0
vuelo,3,2.6,3,0,0.5477,0
grabar,2.2,2.6,2.6,0.4472,0.5477,0.5477
echar,1.2,2.6,2.4,0.4472,0.5477,0.8944
asomar,2.4,2.4,2.6,0.5477,0.8944,0.5477
instituto,2.4,2.2,2.6,0.5477,0.8367,0.5477
girar,2.6,3,2.8,0.5477,0,0.4472
novio,2.8,2.4,2.6,0.4472,0.8944,0.5477
apoyo,3,3,2.6,0,0,0.5477
tío,3,2,3,0,0.7071,0
preferir,2.6,2.6,2.4,0.5477,0.5477,0.8944
tamaño,2,1.8,2.6,0,0.4472,0.5477
emplear,2.4,3,2.6,0.5477,0,0.5477
periodo,2,2,2.4,0,0,0.8944
nave,2.4,2.2,2.8,0.5477,0.8367,0.4472
material,2.2,1.6,2.6,0.4472,0.5477,0.5477
esfuerzo,2.6,3,3,0.5477,0,0
amplio,2.8,1.8,3,0.4472,0.8367,0
adquirir,2.2,2.6,2.8,0.4472,0.8944,0.4472
tren,2.4,2,3,0.5477,1,0
error,1.2,2.4,2.4,0.4472,0.8944,0.8944
secreto,1.8,2.6,2.2,0.4472,0.5477,1.0954
universo,2.6,2.6,2.6,0.5477,0.5477,0.5477
desconocer,1.4,1.6,1.6,0.5477,0.8944,0.8944
federación,2,2.2,2,0,0.4472,0.7071
cuello,2.6,2.2,3,0.5477,0.4472,0
pintura,2.6,2.4,3,0.5477,0.5477,0
elevar,2.8,3,3,0.4472,0,0
ilusión,2.6,2.8,2.4,0.5477,0.4472,0.8944
grado,2,2,1.8,0,0,0.4472
palacio,2.8,1.6,3,0.4472,0.5477,0
cámara,2.6,2.8,3,0.5477,0.4472,0
ruido,1.4,2.6,3,0.8944,0.8944,0
listo,2.8,2.8,2.4,0.4472,0.4472,0.8944
economía,2,2.8,2,0,0.4472,1
actualidad,2,2.8,2.2,0,0.4472,0.8367
proponer,2.6,3,2.4,0.5477,0,0.8944
poesía,2.8,2.8,3,0.4472,0.4472,0
kilómetro,2,2.4,2.8,0,0.5477,0.4472
callar,2,1.8,2.8,0.7071,1.0954,0.4472
enseñar,3,3,3,0,0,0
público,2.2,2.2,3,0.4472,0.8367,0
sede,2,1.6,2.8,0,0.5477,0.4472
aumentar,2.4,3,2.8,0.5477,0,0.4472
sorprender,2.8,3,2.8,0.4472,0,0.4472
cuidar,2.8,3,3,0.4472,0,0
hospital,1.8,2.6,3,0.4472,0.5477,0
ausencia,1.2,1.4,2.8,0.4472,0.8944,0.4472
doler,1.2,2.4,3,0.4472,0.5477,0
posterior,2,2,2.2,0,0,0.8367
llanto,1.4,2.6,3,0.5477,0.8944,0
cápita,2,1.6,2.2,0,0.5477,0.8367
respirar,2.6,3,3,0.5477,0,0
marchar,1.8,3,3,0.8367,0,0
noticia,2,2,2.8,0,1,0.4472
frase,2.2,1.8,2.8,0.4472,0.4472,0.4472
próximo,2.2,1.6,2.2,0.4472,0.5477,1.0954
aproximadamente,2,1.8,2.2,0,0.4472,0.8367
costar,2,1.8,2.2,0.7071,0.8367,0.8367
inicio,2.4,2.2,2.8,0.5477,0.8367,0.4472
izquierdo,2.2,2.2,2.4,0.4472,0.4472,0.8944
autoridad,2.2,3,3,0.8367,0,0
vino,2.8,2,3,0.4472,0.7071,0
recuperar,2.4,3,2.8,0.5477,0,0.4472
protagonizar,2.4,3,2.8,0.5477,0,0.4472
comienzo,2.4,2,2.6,0.5477,0.7071,0.5477
influencia,2.4,2.8,2.6,0.5477,0.4472,0.5477
rápidamente,2.2,2.6,2.8,0.4472,0.5477,0.4472
habitar,2.4,2.4,2.6,0.5477,0.8944,0.5477
deportivo,2.6,3,3,0.5477,0,0
nación,2.8,3,2.8,0.4472,0,0.4472
avión,2.6,2.6,3,0.5477,0.8944,0
tranquilo,3,2,3,0,1,0
expresión,2.2,2.6,2.4,0.4472,0.5477,0.5477
raro,2.4,2,2.6,0.8944,0.7071,0.5477
debajo,1.8,1.6,2.8,0.4472,0.5477,0.4472
reducir,1.6,2.8,2.2,0.5477,0.4472,0.8367
diseño,2.6,2.6,2.4,0.8944,0.5477,0.8944
festival,2.8,3,3,0.4472,0,0
azul,2.8,2.2,3,0.4472,0.4472,0
tradicional,2.4,1.8,3,0.5477,0.8367,0
adelante,2.4,2.2,3,0.5477,0.8367,0
cargar,1.6,2.6,3,0.5477,0.5477,0
directo,2.6,2.8,2.8,0.5477,0.4472,0.4472
proteger,2.8,3,2.8,0.4472,0,0.4472
pobre,1.4,1.8,2.8,0.5477,0.8367,0.4472
placer,3,2.2,3,0,0.8367,0
reloj,1.8,2.2,3,0.4472,0.4472,0
caricia,3,3,3,0,0,0
motor,2.2,2.8,3,0.4472,0.4472,0
doctor,2.2,2.2,3,0.4472,0.4472,0
presente,2.8,2.4,2.4,0.4472,0.5477,0.8944
completamente,2.6,2.6,2.6,0.5477,0.5477,0.8944
página,2.2,2.4,3,0.4472,0.5477,0
playa,2.8,1.8,3,0.4472,0.8367,0
robar,1,2.8,3,0,0.4472,0
señalar,1.8,2.8,3,0.4472,0.4472,0
totalmente,2.2,1.8,1.8,0.4472,0.4472,0.8367
vacío,1.8,1.6,2.6,0.8367,0.5477,0.8944
incorporar,2.8,2.8,2.2,0.4472,0.4472,1.0954
matrimonio,2.8,2.6,3,0.4472,0.5477,0
capitán,2.4,2.6,3,0.5477,0.5477,0
generar,2.8,2.8,2.2,0.4472,0.4472,1.0954
salvar,3,3,2.8,0,0,0.4472
señal,2.6,2,3,0.5477,0.7071,0
conducir,2.8,3,3,0.4472,0,0
lago,3,2,3,0,0.7071,0
caballo,3,3,3,0,0,0
golpear,1.4,2.8,2.8,0.5477,0.4472,0.4472
asi,2.2,2,1.6,0.4472,0,0.8944
metal,2.4,1.6,2.8,0.8944,0.5477,0.4472
líder,2.4,3,2.4,0.5477,0,0.5477
lejano,1.6,1.6,2.6,0.5477,0.5477,0.8944
abrazo,3,2.2,3,0,0.8367,0
daño,1,2,2.6,0,0.7071,0.8944
recoger,2.2,2.8,3,0.4472,0.4472,0
consecuencia,1.8,2,2,0.4472,0.7071,1
encender,2.6,3,3,0.5477,0,0
costumbre,2.2,2,2.2,0.4472,0.7071,1.0954
baño,2.6,2.2,3,0.5477,0.8367,0
liga,2,1.8,2.2,0,0.4472,0.8367
religioso,1.8,2,2.4,0.4472,0.7071,0.5477
gota,2.6,1.6,3,0.5477,0.5477,0
dudar,1.6,1.6,1.8,0.5477,0.5477,0.8367
caja,2,1.8,3,0,0.8367,0
definir,2.6,2.6,2,0.5477,0.5477,1
atravesar,2.2,2.8,2.4,0.4472,0.4472,0.5477
expresar,2.8,2.8,2.6,0.4472,0.4472,0.8944
medio,1.8,2,2.4,0.4472,0,0.5477
ave,2.8,2.8,3,0.4472,0.4472,0
soldado,1.4,2.6,3,0.5477,0.8944,0
templo,2.4,2,2.6,0.5477,1,0.8944
calidad,2.6,2.4,2,0.5477,0.5477,0.7071
envolver,2,2.2,2.6,0,0.8367,0.5477
sexo,2.8,3,3,0.4472,0,0
clima,2.4,2,3,0.5477,0.7071,0
idioma,2.6,2.6,2.2,0.5477,0.5477,0.8367
torneo,2.4,3,2.8,0.5477,0,0.4472
institución,2.2,2.4,2.2,0.4472,0.8944,1.0954
gol,2.8,3,3,0.4472,0,0
tradición,2.4,2.4,2.6,0.5477,0.8944,0.8944
emitir,2.4,3,1.8,0.5477,0,0.8367
independiente,2.8,2.6,2.2,0.4472,0.5477,1.0954
puro,3,2.2,2.6,0,0.8367,0.8944
sabor,2.6,2.2,2.4,0.5477,0.8367,0.8944
lento,2.2,2.6,2.6,0.4472,0.5477,0.5477
afirmar,2.6,3,2,0.5477,0,0.7071
asunto,2.4,2.4,1.4,0.5477,0.5477,0.5477
maestro,2.6,2.8,3,0.5477,0.4472,0
asociación,1.8,2,1.4,0.4472,0.7071,0.5477
vencer,2.8,3,3,0.4472,0,0
revolución,2.8,2.8,2.2,0.4472,0.4472,1.0954
consistir,2.3333,2.3333,1,0.5164,0.8165,0
algo,2.2,2.2,1.4,0.4472,0.4472,0.5477
final,2.2857,2.4286,2.4286,0.488,0.5345,0.7868
descansar,3,1.5,2.625,0,0.9258,0.744
funcionar,2.625,2.875,2.5,0.5175,0.3536,0.5345
gusto,2.5714,2.1429,2.4286,0.5345,0.6901,0.7868
concepto,2.375,2,1.375,0.5175,0.5345,0.5175
temor,1.25,2.25,2.875,0.4629,1.0351,0.3536
conciencia,2.375,2.375,1.875,0.5175,0.744,0.8345
introducir,2.25,2.875,2.875,0.4629,0.3536,0.3536
hombro,2.3,2,3,0.483,0.6667,0
rojo,2.2,2.1,3,0.6325,0.9944,0
fallecer,1.2,1.7,2.8,0.4216,0.8233,0.6325
mamá,2.9,2.3,3,0.3162,0.6749,0
oído,2.2,2.3,2.9,0.6325,0.483,0.3162
geográfico,2.1818,1.9091,2.2727,0.603,0.8312,0.7862
erar,1.7143,2.2857,1.7143,0.488,0.488,0.9512
asegurar,2.4545,2.8182,1.8182,0.6876,0.603,0.8739
contemplar,2.6364,1.9091,2.8182,0.5045,1.0445,0.4045
esquina,2.0833,2,3,0.2887,0.4264,0
cuanto,2.1111,2,1.6667,0.3333,0.5,0.7071
gato,2.7273,2.1818,2.9091,0.6467,0.7508,0.3015
encargar,2.1,2.8,2.4,0.3162,0.6325,0.8433
estadio,2.3333,2.1111,3,0.5,0.6009,0
curso,2.1111,1.8889,2.7778,0.6009,0.6009,0.441
recién,2.25,2.375,2.625,0.4629,0.5175,0.744
animar,2.7143,2.8571,2.5714,0.488,0.378,0.7868
foto,2.5714,1.5714,2.8571,0.5345,0.5345,0.378
terreno,2.2857,1.5714,3,0.488,0.7868,0
locura,1.8571,2.8571,2.4286,0.6901,0.378,0.9759
corte,1.6667,2,2.5,0.8165,0.8944,0.5477
salud,2.6,1.6,2.6,0.8944,0.8944,0.5477
auto,2,2.4,3,0,0.8944,0
temperatura,2,2.4,2.6,0,0.8944,0.5477
intención,2,2,1.6667,0.6325,0.8944,0.8165
dividir,1.8333,2.5,2.3333,0.7528,0.8367,0.5164
mentira,1.8333,2.3333,2.6667,0.9832,1.0328,0.8165
desnudo,2.3333,1.8333,3,0.8165,0.9832,0
depender,1.6,2,2.4,0.5477,1,0.5477
cristal,2.4,1.4,2.8,0.5477,0.5477,0.4472
marcha,1.8333,2.3333,2.5,0.7528,0.8165,0.8367
tarea,2,2.3333,3,0.6325,0.8165,0
superar,3,2.8571,2.2857,0,0.378,0.7559
crítico,2.1429,2.5714,2.4286,0.6901,0.5345,0.7868
